t,x,y,z,yaw,roll,pitch
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,2.380463736894163e-08,-1.7420728550907288e-08,3.734087215649321e-09,355.0625,-0.2490099374999999,-0.1271874999999998
0.02,2.4229214007050614e-07,-1.9916738035100527e-07,3.434016165926005e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.03,3.9605915289736244e-07,-3.422907066783745e-07,5.1398753400593664e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.04,5.632619701213295e-07,-5.044245423069568e-07,6.529375436287914e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.05,7.15870573991014e-07,-6.274803271535241e-07,5.313364360602107e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.06,8.000088074729909e-07,-7.009127597291166e-07,4.872454035562139e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.07,8.441283392923804e-07,-7.355944173657097e-07,1.6180228343183e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.08,9.022134531710711e-07,-7.666229080435636e-07,3.5869340038819294e-09,355.0625,-0.2490099374999999,-0.1271874999999998
0.09,9.529543100438185e-07,-7.96038903042434e-07,-1.3018656014601262e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.1,9.730406446597704e-07,-7.802642553532188e-07,-2.0405854653932478e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.11,9.807719637267823e-07,-7.766920175737084e-07,9.153564667305404e-09,355.0625,-0.2490099374999999,-0.1271874999999998
0.12,9.860853767741098e-07,-7.661210013727328e-07,3.248406171842262e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.13,1.0406853759040408e-06,-8.028369945470919e-07,5.505507734655894e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.14,1.116891875923069e-06,-8.465308819449084e-07,6.098751871108955e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.15,9.84880562477621e-07,-7.689633904498309e-07,6.17319935674042e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.16,9.088579310787168e-07,-7.286353071593506e-07,3.7227898006735416e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.17,9.019084436699857e-07,-7.368282229509819e-07,1.3318431935876071e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.18,9.341900528859772e-07,-7.491999693935569e-07,-1.0205005930240452e-09,355.0625,-0.2490099374999999,-0.1271874999999998
0.19,8.952182648325269e-07,-7.264700487593461e-07,4.623956636098812e-09,355.0625,-0.2490099374999999,-0.1271874999999998
0.2,8.139276420662321e-07,-6.850092831524309e-07,2.7050301959650385e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.21,8.556450215376474e-07,-7.182434535414545e-07,3.3740299753243685e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.22,9.262375008228372e-07,-7.537114737422007e-07,5.564981624652561e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.23,8.672881609388863e-07,-7.210228605375506e-07,5.2829536578751456e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.24,8.697372427712883e-07,-7.358119138710556e-07,4.144807528925017e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.25,9.252775329221028e-07,-7.539009812505171e-07,5.074225032234242e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.26,9.805041128512417e-07,-7.957123972443022e-07,5.056752453501995e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.27,1.0138999428668274e-06,-7.875578855694024e-07,6.51798047850937e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.28,1.0372160348605795e-06,-7.843488111900963e-07,5.959878571255262e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.29,1.033896636107452e-06,-7.906014155646217e-07,6.041017962327451e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.3,1.0271436362420606e-06,-8.081554297931343e-07,7.179748683493955e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.31,1.0423190119276931e-06,-8.592059626967864e-07,7.25971605909162e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.32,1.0701449628062561e-06,-8.886471913037771e-07,8.665315196955165e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.33,1.0528243664617325e-06,-8.870118490274478e-07,9.781002016471121e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.34,1.032742230096979e-06,-8.672856986536536e-07,1.1356640782315437e-07,355.0625,-0.2490099374999999,-0.1271874999999998
0.35000000000000003,1.0401304751832254e-06,-8.729624188643416e-07,1.1686634275042223e-07,355.0625,-0.2490099374999999,-0.1271874999999998
0.36,1.0524399516849617e-06,-8.837541431354837e-07,1.272016686715643e-07,355.0625,-0.2490099374999999,-0.1271874999999998
0.37,1.0726088538544343e-06,-9.088323470502291e-07,1.3803413891871144e-07,355.0625,-0.2490099374999999,-0.1271874999999998
0.38,1.0806383142505552e-06,-8.752893292147143e-07,1.2256496329791558e-07,355.0625,-0.2490099374999999,-0.1271874999999998
0.39,1.0948331581050294e-06,-8.361877340684532e-07,1.0620502900072713e-07,355.0625,-0.2490099374999999,-0.1271874999999998
0.4,1.080844459121409e-06,-8.198584538417681e-07,9.30819896184157e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.41000000000000003,1.0960816019673777e-06,-8.222314422151319e-07,7.916813544360905e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.42,1.1210680433846207e-06,-8.657719223427947e-07,7.047234628242816e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.43,1.114023399270271e-06,-8.900086934742394e-07,5.660957830116487e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.44,1.0862765300236897e-06,-8.771970769284358e-07,4.868760579161186e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.45,1.0536720321345249e-06,-8.590039885362534e-07,5.597301938888438e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.46,1.0557105182071135e-06,-8.880489877786675e-07,5.238514548525869e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.47000000000000003,1.077405426099337e-06,-8.979821471324289e-07,4.7814173749742914e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.48,1.086998200630808e-06,-9.283571128122362e-07,3.55645677175794e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.49,1.0665198066298888e-06,-9.147365858739063e-07,1.123880991026724e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.5,1.0462552477580604e-06,-8.980906410363057e-07,-4.507134465175639e-09,355.0625,-0.2490099374999999,-0.1271874999999998
0.51,1.0383924158210777e-06,-9.015915547409738e-07,-7.303413687000354e-09,355.0625,-0.2490099374999999,-0.1271874999999998
0.52,1.0438518240143636e-06,-8.87303672573135e-07,-1.2455062197846407e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.53,1.0544729223407136e-06,-8.881346559373846e-07,-2.16168306888035e-09,355.0625,-0.2490099374999999,-0.1271874999999998
0.54,1.0534164732369887e-06,-8.687311436554216e-07,1.4601269049222947e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.55,1.0465654809414744e-06,-8.444574864203126e-07,3.068771535801788e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.56,1.0291064260128544e-06,-8.145738315759016e-07,4.895752718250941e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.5700000000000001,1.0085136879883578e-06,-7.990178532169122e-07,3.749562651739315e-08,355.0625,-0.2490099374999999,-0.1271874999999998
0.58,1.0118451517140113e-06,-8.071925835372899e-07,2.6242845321875212e-08,355.0625,-0.2490099374999999,-0.1271874999999998
