t,x,y,z,yaw,roll,pitch
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,9.781055667067137e-10,-1.1801775457245329e-08,1.3837677706980561e-09,105.96883843750001,0.001187499999999897,-0.002374999999999794
0.02,1.661096380538947e-08,-1.1348976139356835e-07,-1.3468438326790869e-08,105.96883843750001,0.001187499999999897,-0.002374999999999794
0.03,2.7047658832581422e-08,-2.0364176140855506e-07,-4.451686869039044e-08,105.96883843750001,0.001187499999999897,-0.002374999999999794
0.04,-2.713185099928103e-08,-1.4223930460097252e-07,-5.1475147075019954e-08,105.96883843750001,0.001187499999999897,-0.002374999999999794
0.05,-4.816547197722082e-08,-1.0499720732826919e-07,-4.3737907367020936e-08,105.96883843750001,0.001187499999999897,-0.002374999999999794
0.06,-5.491254619380849e-08,-1.3148453681210046e-07,-4.866921140031125e-08,105.96883843750001,0.001187499999999897,-0.002374999999999794
0.07,-6.781956123562768e-08,-1.2239153695639042e-07,-6.037579920828356e-08,105.96883843750001,0.001187499999999897,-0.002374999999999794
0.08,-8.986567912944547e-08,-7.353625606265604e-08,-4.5740637819943887e-08,105.96883843750001,0.001187499999999897,-0.002374999999999794
0.09,-1.0014413704388826e-07,-8.955694078130735e-08,-3.692262605719992e-08,105.96883843750001,0.001187499999999897,-0.002374999999999794
0.1,-1.0848107274821063e-07,-1.0667626369838112e-07,-3.4390373349208293e-08,105.96883843750001,0.001187499999999897,-0.002374999999999794
0.11,-1.1986145447222491e-07,-1.0877008164329451e-07,-3.2087291227897826e-08,105.96883843750001,0.001187499999999897,-0.002374999999999794
0.12,-1.304520032797054e-07,-1.0696884418409707e-07,-3.1076522391703624e-08,105.96883843750001,0.001187499999999897,-0.002374999999999794
0.13,-1.281030339134544e-07,-1.4787261113134748e-07,-5.824775390204705e-09,105.96883843750001,0.001187499999999897,-0.002374999999999794
0.14,-1.2847598891227757e-07,-1.7414258442107577e-07,3.96501264537734e-08,105.96883843750001,0.001187499999999897,-0.002374999999999794
0.15,-1.348868107921837e-07,-1.633856665795593e-07,6.971294381971162e-08,105.96883843750001,0.001187499999999897,-0.002374999999999794
0.16,-1.4447059276194814e-07,-1.6295579149099536e-07,1.0109771512041086e-07,105.96883843750001,0.001187499999999897,-0.002374999999999794
0.17,-1.4823148211694854e-07,-1.832708599053315e-07,1.2681501806175233e-07,105.96883843750001,0.001187499999999897,-0.002374999999999794
