t,x,y,z,yaw,roll,pitch
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,55.08722303650095,12.468243403882337,-184.667767433374,0.0,0.001187499999999897,-0.002374999999999794
0.02,65.41163198147756,14.805032819339235,-219.27807152773153,0.0,0.001187499999999897,-0.002374999999999794
0.03,67.74322361736336,15.33275699157307,-227.09421840690803,0.0,0.001187499999999897,-0.002374999999999794
0.04,67.58516043427522,15.296981473414569,-226.5643462818258,0.0,0.001187499999999897,-0.002374999999999794
0.05,66.22857091040656,14.975626400418252,-221.44682467419,0.0,0.001187499999999897,-0.002374999999999794
0.06,64.04151659710487,14.17257591611107,-213.42275882681102,0.0,0.001187499999999897,-0.002374999999999794
0.07,62.77481408435967,13.538603848651734,-210.2917500089398,0.0,0.001187499999999897,-0.002374999999999794
0.08,61.431137580103915,13.068132821395205,-206.25025170205723,0.0,0.001187499999999897,-0.002374999999999794
0.09,60.074947906282766,12.644891413189049,-202.00150804507538,0.0,0.001187499999999897,-0.002374999999999794
0.1,58.99303206214577,12.34455325627111,-198.53383083624368,0.0,0.001187499999999897,-0.002374999999999794
0.11,57.442012755089976,11.883703018829756,-193.54426322536193,0.0,0.001187499999999897,-0.002374999999999794
0.12,56.45098685390031,11.613354039669455,-190.31813303059977,0.0,0.001187499999999897,-0.002374999999999794
0.13,26.44301924903582,6.984436978887795,-186.1355185976831,0.0,0.001187499999999897,-0.002374999999999794
0.14,-34.833568324999405,1.9222458601866386,-178.51866016911606,0.0,0.001187499999999897,-0.002374999999999794
0.15,-70.90198842160063,-1.8570963730937,-166.61440602381558,0.0,0.001187499999999897,-0.002374999999999794
0.16,-93.31325586868877,-6.374460130226959,-148.99955058751888,0.0,0.001187499999999897,-0.002374999999999794
0.17,-104.59770336211776,-8.538514708866273,-140.36920782228444,0.0,0.001187499999999897,-0.002374999999999794
0.18,-109.90824456651634,-9.63549401715636,-135.68292209983196,0.0,0.001187499999999897,-0.002374999999999794
0.19,-111.90671557055992,-10.126496428922469,-133.29756423884479,0.0,0.001187499999999897,-0.002374999999999794
0.2,-112.16049673530429,-10.286152921273983,-132.22078677769554,0.0,0.001187499999999897,-0.002374999999999794
0.21,-111.57259942371093,-10.275168692884641,-131.86112547957399,0.0,0.001187499999999897,-0.002374999999999794
0.22,-110.64743897187493,-10.185331150489056,-131.87213857159753,0.0,0.001187499999999897,-0.002374999999999794
0.23,-109.65390842380208,-10.067262921135752,-132.0556836626896,0.0,0.001187499999999897,-0.002374999999999794
0.24,-108.72455994104354,-9.947405772515369,-132.3022582594532,0.0,0.001187499999999897,-0.002374999999999794
0.25,-107.91525740459053,-9.838316446348495,-132.55447587470073,0.0,0.001187499999999897,-0.002374999999999794
0.26,-107.24053981972918,-9.744832902089147,-132.78491428072982,0.0,0.001187499999999897,-0.002374999999999794
0.27,-106.69418439635172,-9.667710042375328,-132.9828397173056,0.0,0.001187499999999897,-0.002374999999999794
0.28,-106.26084779708495,-9.605717007534347,-133.1463734687216,0.0,0.001187499999999897,-0.002374999999999794
0.29,-109.39458397870678,-11.206114728827623,-119.95025598460148,0.0,0.001187499999999897,-0.002374999999999794
0.3,-110.70897594607119,-11.916505580139516,-114.00621936974012,0.0,0.001187499999999897,-0.002374999999999794
0.31,-108.35858125615337,-10.598797349469647,-123.64379079221384,0.0,0.001187499999999897,-0.002374999999999794
0.32,-109.75202190595698,-10.1707198524711,-118.39286776944051,0.0,0.001187499999999897,-0.002374999999999794
0.33,-108.06700150749674,-9.342838638043036,-122.02016066853382,0.0,0.001187499999999897,-0.002374999999999794
