t,x,y,z,yaw,roll,pitch
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,-4.289750409686232e-09,8.00969646052243e-09,9.096858779099849e-09,-0.2472775624999599,0.0012499999999999734,-0.002186499999999647
0.02,-3.9193093350488184e-08,4.8029066239106245e-08,3.5605012803459346e-08,-0.2472775624999599,0.0012499999999999734,-0.002186499999999647
0.03,-2.301850805611374e-08,1.8018593722981879e-09,2.1217473281277122e-08,-0.2472775624999599,0.0012499999999999734,-0.002186499999999647
0.04,-3.1086671315440036e-08,9.614975065255308e-09,8.352549711561933e-09,-0.2472775624999599,0.0012499999999999734,-0.002186499999999647
0.05,-6.338759316922676e-08,5.540359442903047e-08,-1.082475963635201e-08,-0.2472775624999599,0.0012499999999999734,-0.002186499999999647
0.06,-4.85914620195569e-08,3.736485903853564e-08,-2.0443549202135353e-08,-0.2472775624999599,0.0012499999999999734,-0.002186499999999647
0.07,-2.660536647938192e-08,-5.426401825620971e-09,-6.728567516799032e-10,-0.2472775624999599,0.0012499999999999734,-0.002186499999999647
0.08,-2.771233711716258e-08,-5.994815051362535e-09,1.1923382276373139e-08,-0.2472775624999599,0.0012499999999999734,-0.002186499999999647
0.09,-3.632686531698259e-08,7.097452783378281e-10,2.0997465066941793e-08,-0.2472775624999599,0.0012499999999999734,-0.002186499999999647
0.1,-3.688260112621219e-08,-2.077400019224796e-08,5.101862833362984e-09,-0.2472775624999599,0.0012499999999999734,-0.002186499999999647
0.11,-3.692392278437869e-08,-3.9361006775942993e-08,-1.1399847319986797e-09,-0.2472775624999599,0.0012499999999999734,-0.002186499999999647
0.12,-5.072920829454887e-08,-5.914394792109033e-08,-4.288692023951651e-09,-0.2472775624999599,0.0012499999999999734,-0.002186499999999647
0.13,-5.2268122687558204e-08,-7.797565995263257e-08,-9.349053134949147e-09,-0.2472775624999599,0.0012499999999999734,-0.002186499999999647
0.14,-5.4037068226275526e-08,-8.71010866022376e-08,5.964986177819264e-09,-0.2472775624999599,0.0012499999999999734,-0.002186499999999647
0.15,-6.636055173113611e-08,-5.4921022923847844e-08,2.1969846577782784e-08,-0.2472775624999599,0.0012499999999999734,-0.002186499999999647
0.16,-7.696913404793761e-08,-1.3108808798725256e-08,3.884871335031448e-08,-0.2472775624999599,0.0012499999999999734,-0.002186499999999647
0.17,-7.55883372745187e-08,7.702194968519103e-09,4.6232440060908076e-08,-0.2472775624999599,0.0012499999999999734,-0.002186499999999647
0.18,-6.656374913917436e-08,1.4178839567991114e-08,4.804938647104207e-08,-0.2472775624999599,0.0012499999999999734,-0.002186499999999647
0.19,-1.0125666334968291e-07,9.815085459577245e-08,4.803357710214087e-08,-0.2472775624999599,0.0012499999999999734,-0.002186499999999647
0.2,-6.045188689960831e-08,6.001226719790486e-08,5.0953767841963464e-08,-0.2472775624999599,0.0012499999999999734,-0.002186499999999647
0.21,-3.38337525765924e-08,2.8687035839209703e-08,4.140164022963714e-08,-0.2472775624999599,0.0012499999999999734,-0.002186499999999647
0.22,-3.2568919636162284e-08,6.648443185185339e-08,3.524064697698277e-08,-0.2472775624999599,0.0012499999999999734,-0.002186499999999647
