t,x,y,z,yaw,roll,pitch
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,-493.83080835594507,347.3923460868844,-166.19550210127062,-1.0569663124999806,0.7294411249999939,1.084984
0.02,-586.0511913871854,416.03088815190006,-175.94725446682781,-1.3694663124999806,0.7919411249999939,1.084984
0.03,-600.7205036793742,435.89118836263845,-187.9267315931799,-1.4319663124999806,0.6044411249999939,0.897484
0.04,-596.8643986624285,436.937347872396,-189.22066696242112,-1.6819663124999806,0.4169411249999939,0.709984
0.05,-585.1685697733817,430.48323635529016,-186.86770623385047,-1.7444663124999806,0.16694112499999392,0.522484
0.06,-570.8245101382353,421.15583824693545,-183.06131627708328,-1.8694663124999806,0.16694112499999392,0.522484
0.07,-560.9134208692436,410.6918128340403,-180.26178729970945,-1.9319663124999806,0.10444112499999392,0.45998399999999995
0.08,-549.687467334391,401.2645461952881,-178.15635008444502,-1.9319663124999806,0.04194112499999392,0.45998399999999995
0.09,-540.1201552388475,393.07106669082293,-174.0398851003387,-1.7444663124999806,-0.3955588750000061,0.20998399999999995
0.1,-555.6681975384435,369.23485136868004,-135.31170463615265,-1.4944663124999806,-0.3330588750000061,-0.16501600000000005
0.11,-556.5380803359402,356.06136475621315,-125.3122256618182,-1.4319663124999806,0.4169411249999939,-0.22751600000000005
0.12,-553.0743969758203,347.115430932154,-129.43620088667853,-2.6194663124999806,-0.7705588750000061,-1.415016
0.13,-553.3474243752505,341.1816354378304,-122.25843767193922,-3.1819663124999806,-1.645558875000006,-1.977516
0.14,-548.8838335776757,336.9982032903415,-126.88278243237698,-3.5569663124999806,-2.520558875000006,-1.915016
0.15,-545.9187953686693,334.3310763274402,-127.92662185054857,-4.556966312499981,-2.583058875000006,177.897484
0.16,-543.1763270101601,332.30443961053896,-131.18659353698897,-4.494466312499981,-1.145558875000006,177.272484
0.17,-540.2240232895308,331.32224622416436,-135.63502543881225,-4.869466312499981,-0.20805887500000608,177.897484
0.18,-537.856464262627,331.01999610456073,-142.20176095423923,-4.806966312499981,0.7919411249999939,177.834984
0.19,-536.2398249595059,330.7565764089399,-145.33470250742235,-5.181966312499981,1.666941124999994,-181.915016
0.2,-536.7146199436229,331.89851385440886,-160.94750403808797,-5.994466312499981,1.854441124999994,-181.790016
0.21,-536.5352143836071,332.42730324327414,-168.79530150277122,-6.556966312499981,1.979441124999994,-181.915016
0.22,-536.2655455444702,333.0241127552205,-175.70048243675336,-6.556966312499981,2.104441124999994,177.959984
0.23,-534.7183475468132,334.2035815065762,-184.59200156732513,-6.494466312499981,2.291941124999994,177.834984
0.24,-457.6002745587484,335.92774370082697,-177.9618939815191,-6.494466312499981,1.854441124999994,177.522484
0.25,-361.5514071453716,361.13250949108385,-168.9871571884973,-7.494466312499981,1.291941124999994,177.459984
0.26,-489.95434772182,241.08789874331978,-184.93086529973252,-8.43196631249998,1.416941124999994,177.022484
0.27,-557.7306382007932,178.0320102858885,-167.6402934644074,-8.68196631249998,2.104441124999994,177.397484
0.28,-592.065977847291,146.72124758179726,-167.41669244096724,-9.49446631249998,1.416941124999994,177.022484
0.29,-611.0408508688687,130.21561984192272,-166.8013182807119,-7.869466312499981,-0.5830588750000061,176.459984
0.3,-622.9138020308501,120.9510654730662,-162.2297117638606,-7.994466312499981,-1.270558875000006,176.772484
0.31,-623.3029197051812,120.2968954503388,-171.11097334922496,-8.93196631249998,-1.833058875000006,177.334984
0.32,-625.6376437792286,118.86693059758811,-170.18361223338712,-8.74446631249998,-1.645558875000006,177.147484
0.33,-630.4404476367052,116.6731108104437,-160.99620095616228,-7.181966312499981,-1.770558875000006,176.647484
0.34,-630.3564645588605,117.18121971553484,-160.33544828351228,-7.056966312499981,-1.520558875000006,-0.47751600000000005
0.35000000000000003,-634.3265630843692,115.58098491119947,-152.04051767934814,-7.494466312499981,-1.020558875000006,-0.04001600000000005
0.36,-637.061120379767,114.7312968873361,-145.68692410347344,-5.869466312499981,-0.7080588750000061,0.27248399999999995
0.37,-600.1976219659289,159.8199439644374,-110.54278429102212,-4.494466312499981,-1.083058875000006,-0.04001600000000005
0.38,-578.2318831467134,182.95287036478973,-100.02709475462203,-4.056966312499981,-1.145558875000006,-0.04001600000000005
0.39,-567.4418469687791,195.23547287777245,-91.49521494286007,-3.9319663124999806,-0.8330588750000061,0.27248399999999995
0.4,-564.4656698264295,200.22063564593176,-83.17959711450685,-3.1819663124999806,0.04194112499999392,1.022484
0.41000000000000003,-565.2968524032997,201.6122574947245,-74.45125669753398,-2.5569663124999806,0.10444112499999392,1.084984
0.42,-567.2662295346339,201.47703273406745,-66.54648378106283,-2.1194663124999806,0.22944112499999392,1.272484
0.43,-575.2770541979975,199.56338203512684,-52.034862155768586,-0.8069663124999806,0.4169411249999939,1.459984
0.44,-577.0273091915054,199.57489090634525,-50.02070339995796,0.9430336875000194,-0.020558875000006083,0.959984
0.45,-594.1840389654728,211.3298145764838,-56.90847278352322,-1.3069663124999806,-0.3955588750000061,175.334984
0.46,-580.9705463532941,213.35896043343118,-83.02716537974962,-4.181966312499981,-1.145558875000006,177.209984
0.47000000000000003,-573.4401825943546,192.39365686658442,-98.60100693169198,-3.3694663124999806,-0.20805887500000608,175.209984
0.48,-569.4244362960773,182.79408198554574,-107.09645911298566,-2.2444663124999806,-0.7080588750000061,-0.727516
0.49,-567.2259737213884,177.3535687867701,-111.73814717802625,-2.6194663124999806,0.6669411249999939,-1.352516
0.5,-567.1406804610385,171.52405237781332,-108.81705492289147,-0.7444663124999806,2.041941124999994,-0.35251600000000005
0.51,-562.2770197206545,172.4751056174432,-118.57782135446362,-1.4319663124999806,3.166941124999994,-1.977516
0.52,-562.8713812699405,168.96827818909347,-116.30870619309464,-1.8694663124999806,2.041941124999994,-0.727516
0.53,-557.6917254252603,170.75768409388613,-127.79696782278451,-2.1194663124999806,1.854441124999994,-0.41501600000000005
0.54,-555.3960503235332,172.6064390383777,-128.2600401695115,-2.4319663124999806,1.041941124999994,-0.977516
0.55,-558.2617982116199,171.99618030024416,-130.85225820046918,-2.4319663124999806,0.6669411249999939,-1.102516
0.56,-558.8448750874195,172.58375734096438,-133.6506524081131,-3.2444663124999806,-0.20805887500000608,-1.665016
0.5700000000000001,-559.3388318530145,172.90057209637388,-134.83556886091165,-5.181966312499981,-1.520558875000006,-2.040016
0.58,-561.5162492709102,180.41461225221755,-137.76663192080653,-5.619466312499981,-2.645558875000006,-1.540016
0.59,-554.7645060557649,191.20240078887224,-155.18974452452622,-7.744466312499981,-1.583058875000006,-3.352516
0.6,-548.0716488899968,198.9956299643632,-161.12712778938953,-5.744466312499981,-1.145558875000006,176.147484
0.61,-379.4927784853659,-51.83130026500979,-276.82030329099786,-5.181966312499981,-0.3330588750000061,175.584984
0.62,-301.44865853668546,-162.7353101519924,-332.4474204058164,-5.494466312499981,1.541941124999994,174.522484
0.63,-249.7331449495172,-222.81537416860442,-376.45107984203776,-6.494466312499981,2.229441124999994,173.772484
0.64,-224.04492794669875,-257.8554548066395,-397.67887654488186,-6.494466312499981,2.666941124999994,173.334984
0.65,-208.3426930926885,-265.56135628280003,-415.5388812048609,-7.369466312499981,2.166941124999994,173.772484
0.66,-201.61515024378707,-261.0555548157231,-415.7074991230571,-7.681966312499981,1.729441124999994,174.147484
0.67,-202.50369619287667,-261.08421463671164,-410.77536940231676,-7.056966312499981,1.791941124999994,173.897484
0.68,-205.7955938013216,-262.3579022443768,-403.0510105677566,-6.369466312499981,1.791941124999994,173.709984
0.6900000000000001,-209.54907970710687,-263.0347750897383,-396.29020892562784,-6.056966312499981,0.9169411249999939,174.147484
0.7000000000000001,-215.40454761653024,-263.12233726411654,-387.2214964978382,-6.431966312499981,0.16694112499999392,174.709984
0.71,-221.12944322799942,-265.50721875009765,-379.24716954856774,-6.681966312499981,-0.3330588750000061,0.45998399999999995
0.72,-228.97916978161487,-275.9211085793376,-362.4899790456273,-6.119466312499981,0.7919411249999939,1.772484
0.73,-236.40876592084547,-271.79402500210074,-369.1643546315365,-6.806966312499981,1.041941124999994,1.834984
0.74,-243.7483691568073,-273.7260697754775,-364.85811712803485,-6.494466312499981,1.416941124999994,2.272484
0.75,-292.4458789610479,-265.94640754170126,-374.8795879996654,-6.869466312499981,0.7919411249999939,1.522484
0.76,-318.22522843968505,-261.59864554684094,-381.15792837620745,-6.994466312499981,0.10444112499999392,0.834984
0.77,-345.9661080134699,-271.96359449275144,-370.8997627722876,-7.369466312499981,-0.08305887500000608,-0.540016
0.78,-424.42942217639904,-339.02091519267253,-419.1783321979136,-7.744466312499981,-0.020558875000006083,-0.10251600000000005
0.79,-466.33250688800763,-376.70566138844833,-456.1655304472432,-7.619466312499981,0.10444112499999392,0.27248399999999995
0.8,-486.87408103122783,-392.80002828247603,-481.1901770739939,-6.806966312499981,-0.08305887500000608,0.08498399999999995
0.81,-491.1630890293231,-400.42185058791983,-476.2146319464865,-6.556966312499981,-0.8330588750000061,-0.47751600000000005
0.8200000000000001,-503.0415969156601,-415.3646992558145,-457.00771223557564,-6.119466312499981,-1.333058875000006,-0.727516
0.8300000000000001,-528.4150741801478,-448.35938754999455,-497.95474003393184,-5.494466312499981,-1.708058875000006,-0.727516
0.84,-537.8670141146738,-461.42105299681083,-516.1332463488715,-5.369466312499981,-2.145558875000006,-1.102516
0.85,-541.40685659783,-467.35155536654867,-526.0299254943222,-6.931966312499981,-2.895558875000006,-1.977516
0.86,-584.9868391890175,-481.6603765242168,-560.4202408316186,-9.68196631249998,-1.583058875000006,-3.477516
0.87,-603.962261848032,-487.5377334732033,-575.8514469716091,-13.36946631249998,-0.08305887500000608,-4.915016
0.88,-633.8403428062752,-484.38197512331175,-617.3354092666732,-14.61946631249998,-0.2705588750000061,-4.665016
0.89,-628.4364006474526,-488.8300684068966,-619.3478288750102,-11.24446631249998,-0.3955588750000061,-2.915016
0.9,-616.1781375758528,-483.0234698873051,-618.932178389732,-12.68196631249998,0.16694112499999392,-2.852516
0.91,-606.6381828610154,-474.59394648806136,-620.6922474627547,-14.61946631249998,0.2919411249999939,-2.290016
0.92,-599.1617337841726,-468.34428696166833,-621.9218231204568,-13.61946631249998,-0.3330588750000061,-1.477516
0.93,-584.0876796075077,-452.2628287549854,-630.987469649749,-15.18196631249998,-0.7705588750000061,-1.665016
0.9400000000000001,-574.9480577650007,-440.85505552456266,-636.8452596306524,-16.24446631249998,0.10444112499999392,0.27248399999999995
0.9500000000000001,-574.7552713668262,-440.21553472274854,-635.0519570412254,-16.86946631249998,0.22944112499999392,1.084984
0.96,-574.1540273049613,-439.4422927384343,-634.0471531227984,-19.36946631249998,-0.5830588750000061,0.27248399999999995
0.97,-573.8787625675386,-439.18401856594016,-633.1002540521756,-19.55696631249998,-0.6455588750000061,0.27248399999999995
