t,x,y,z,yaw,roll,pitch
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,51.156972746074764,17.062275013886026,-198.50892261398533,359.9259801875,-0.4399915000000001,0.0610119375
0.02,68.57637237410572,-70.08604460092448,-228.84362795135723,359.9259801875,-0.4399915000000001,-0.001488062499999998
0.03,73.48663275736794,-101.0307008265214,-234.83773990628237,359.9259801875,-0.4399915000000001,-0.001488062499999998
0.04,74.24416530339299,-114.22594915607786,-232.60004783949432,359.9259801875,-0.4399915000000001,-0.001488062499999998
0.05,66.94251521793355,-114.7424915013502,-229.18504229966118,359.9259801875,-0.4399915000000001,-0.001488062499999998
0.06,76.99780405776076,-100.84914087963853,-219.74536690652621,359.9259801875,-0.4399915000000001,-0.001488062499999998
0.07,81.86977914486478,-93.21876787610631,-216.62924433984634,359.9259801875,-0.4399915000000001,-0.001488062499999998
0.08,83.73039749173402,-88.14031183087275,-212.45653263487458,359.9259801875,-0.4399915000000001,-0.001488062499999998
0.09,84.18542226878213,-84.6957760418789,-208.60173206132333,359.9259801875,-0.4399915000000001,-0.001488062499999998
0.1,87.79472392267407,-78.30808143684696,-204.00641330634204,359.9259801875,-0.4399915000000001,-0.001488062499999998
0.11,81.56184501978399,-70.94663548966318,-202.13665628157182,359.9259801875,-0.4399915000000001,-0.001488062499999998
0.12,74.03395615375656,-74.67078549878529,-200.9188052121213,359.9259801875,-0.4399915000000001,-0.001488062499999998
0.13,144.97747856821252,-86.21359498382174,-181.34446199232556,359.9259801875,-0.4399915000000001,-0.001488062499999998
0.14,174.83938229066624,-91.68217628722302,-165.36330366597588,359.9259801875,-0.4399915000000001,-0.001488062499999998
0.15,268.3612520739106,-251.58633749664224,-160.05287523945705,359.9259801875,-0.4399915000000001,-0.001488062499999998
0.16,200.1521103318591,-308.22470974185484,-165.24231588814393,359.9259801875,-0.4399915000000001,-0.001488062499999998
0.17,175.01594468931887,-341.41802600116813,-174.2981336113578,359.9259801875,-0.4399915000000001,-0.001488062499999998
0.18,158.07506057144664,-357.0404431591836,-176.394026563666,359.9259801875,-0.4399915000000001,-0.001488062499999998
0.19,144.18110249643988,-360.87786086418583,-169.53802329159785,359.9259801875,-0.4399915000000001,-0.001488062499999998
0.2,136.66563839746058,-361.5677856269535,-166.52635166386708,359.9259801875,-0.4399915000000001,-0.001488062499999998
0.21,135.52031855762934,-360.4696788097515,-167.15738416871923,359.9259801875,-0.4399915000000001,-0.001488062499999998
0.22,131.43905146313665,-353.0586159324504,-185.29670084653364,359.9259801875,-0.4399915000000001,-0.001488062499999998
0.23,130.02266564348878,-348.75716217243735,-194.0112940278654,359.9259801875,-0.4399915000000001,-0.001488062499999998
0.24,129.5329635860467,-345.6769419685082,-198.9801892222877,359.9259801875,-0.4399915000000001,-0.001488062499999998
0.25,119.95175021630251,-318.6670203576784,-179.1409912712644,359.9259801875,-0.4399915000000001,-0.001488062499999998
0.26,129.74313314572956,-316.1440389941845,-189.4726481594172,359.9259801875,-0.4399915000000001,-0.001488062499999998
0.27,143.7546950276946,-321.3596132512735,-207.91644816235265,359.9259801875,-0.4399915000000001,-0.001488062499999998
0.28,147.9206440286586,-320.758508041918,-210.1526581927478,359.9259801875,-0.4399915000000001,-0.001488062499999998
0.29,158.1136494261366,-273.620187719406,-241.79570152050894,359.9259801875,-0.4399915000000001,-0.001488062499999998
0.3,156.60745972431423,-246.74658320214093,-240.2400007640979,359.9259801875,-0.4399915000000001,-0.001488062499999998
0.31,168.33102516095866,-244.20000186088686,-263.64031558883386,359.9259801875,-0.4399915000000001,-0.001488062499999998
0.32,156.0132453132032,-245.1002238339751,-282.9928396290582,359.9259801875,-0.4399915000000001,-0.001488062499999998
0.33,94.05889560010924,-245.4225711461864,-246.16051992165217,359.9259801875,-0.4399915000000001,-0.001488062499999998
0.34,65.52636411612912,-239.93195223569234,-258.1492291041537,359.9259801875,-0.4399915000000001,-0.001488062499999998
0.35000000000000003,47.222819578822936,-235.50051760058435,-251.64221789636235,359.9259801875,-0.4399915000000001,-0.001488062499999998
0.36,36.88246167102802,-232.7388975702761,-254.66979523551905,359.9259801875,-0.4399915000000001,-0.001488062499999998
0.37,31.954093720785707,-231.59556201952927,-255.5854765663766,359.9259801875,-0.4399915000000001,-0.001488062499999998
0.38,32.31036208265096,-231.4854014337661,-264.70502838277383,359.9259801875,-0.4399915000000001,-0.001488062499999998
0.39,32.84301611083325,-232.42554405558107,-265.04889356412644,359.9259801875,-0.4399915000000001,0.0610119375
0.4,33.13686401332829,-233.0113594271073,-264.49804038243894,359.9259801875,-0.4399915000000001,0.0610119375
0.41000000000000003,31.00524366820997,-229.79315802720774,-250.97816037041466,359.9259801875,-0.4399915000000001,0.0610119375
0.42,-17.78152359060882,-359.5564111032398,-223.3351338733949,359.9259801875,-0.4399915000000001,0.0610119375
0.43,-19.095441626167474,-373.7099482084163,-217.74220294970152,359.9259801875,-0.4399915000000001,0.0610119375
0.44,-20.500205779943222,-387.5242563870543,-218.88708997349752,359.9259801875,-0.4399915000000001,0.0610119375
0.45,-20.945028174673645,-393.37569256670173,-217.46649903428562,359.9259801875,-0.4399915000000001,0.0610119375
0.46,-20.533888191903237,-395.93421122613825,-217.4996911257736,359.9259801875,-0.4399915000000001,0.0610119375
0.47000000000000003,-25.302101589034155,-376.0413055474879,-197.24836054820892,359.9259801875,-0.4399915000000001,0.0610119375
0.48,-29.0851107700963,-361.70563655125187,-175.48110163264337,359.9259801875,-0.4399915000000001,0.0610119375
0.49,-30.68442624697382,-353.6226570956056,-164.91372480507073,359.9259801875,-0.4399915000000001,0.0610119375
0.5,-33.9538659628887,-346.5745387511073,-149.0285388591915,359.9259801875,-0.4399915000000001,0.0610119375
0.51,-35.251330842759295,-342.75589424550935,-141.71920740350293,359.9259801875,-0.4399915000000001,0.0610119375
0.52,-35.74980782493149,-340.6077921787811,-138.1560356528423,359.9259801875,-0.4399915000000001,0.0610119375
0.53,-36.995568802009714,-321.49587795035575,-132.2290721401104,359.9259801875,-0.5024915000000001,-0.001488062499999998
0.54,-197.46216690924106,142.95172857856483,-270.62641540008894,359.9259801875,-0.4399915000000001,-0.001488062499999998
0.55,-270.0454300471903,354.35775956348425,-336.7230912667026,359.9259801875,-0.4399915000000001,-0.001488062499999998
0.56,-303.93990749505105,468.3504473765119,-389.5342919723149,359.9259801875,-0.3774915000000001,0.0610119375
